set,url
war,https://www.channelfireball.com/articles/war-of-the-spark-limited-set-review-blue/
war,https://www.channelfireball.com/articles/luis-scott-vargas/war-of-the-spark-limited-set-review-white/
war,https://www.channelfireball.com/articles/war-of-the-spark-limited-set-review-black/
war,https://www.channelfireball.com/articles/war-of-the-spark-limited-set-review-red/
war,https://www.channelfireball.com/articles/war-of-the-spark-limited-set-review-green/
war,https://www.channelfireball.com/articles/war-of-the-spark-limited-set-review-gold-artifacts-and-lands/
m20,https://www.channelfireball.com/articles/core-set-2020-limited-set-review-black/
m20,https://www.channelfireball.com/articles/core-set-2020-limited-set-review-white/
m20,https://www.channelfireball.com/articles/core-set-2020-limited-set-review-blue/
m20,https://www.channelfireball.com/articles/core-set-2020-limited-set-review-red/
m20,https://www.channelfireball.com/articles/core-set-2020-limited-set-review-green-and-gold/
m20,https://www.channelfireball.com/articles/core-set-2020-limited-set-review-gold-artifacts-and-lands/
rna,https://www.channelfireball.com/articles/ravnica-allegiance-limited-set-review-white/
rna,https://www.channelfireball.com/articles/ravnica-allegiance-limited-set-review-blue/
rna,https://www.channelfireball.com/articles/ravnica-allegiance-limited-set-review-black/
rna,https://www.channelfireball.com/articles/ravnica-allegiance-limited-set-review-red/
rna,https://www.channelfireball.com/articles/ravnica-allegiance-limited-set-review-green/
rna,https://www.channelfireball.com/articles/ravnica-allegiance-limited-set-review-azorius/
rna,https://www.channelfireball.com/articles/ravnica-allegiance-limited-set-review-gruul/
rna,https://www.channelfireball.com/articles/ravnica-allegiance-limited-set-review-orzhov/
rna,https://www.channelfireball.com/articles/ravnica-allegiance-limited-set-review-simic-and-colorless/
rna,https://www.channelfireball.com/articles/ravnica-allegiance-limited-set-review-rakdos/
grn,https://www.channelfireball.com/articles/guilds-of-ravnica-limited-set-review-white/
grn,https://www.channelfireball.com/articles/guilds-of-ravnica-limited-set-review-blue/
grn,https://www.channelfireball.com/articles/guilds-of-ravnica-limited-set-review-black/
grn,https://www.channelfireball.com/articles/guilds-of-ravnica-limited-set-review-red/
grn,https://www.channelfireball.com/articles/guilds-of-ravnica-limited-set-review-green/
grn,https://www.channelfireball.com/articles/guilds-of-ravnica-limited-set-review-boros/
grn,https://www.channelfireball.com/articles/guilds-of-ravnica-limited-set-review-dimir/
grn,https://www.channelfireball.com/articles/guilds-of-ravnica-limited-set-review-golgari/
grn,https://www.channelfireball.com/articles/guilds-of-ravnica-limited-set-review-artifacts-lands-and-guild-ranking/
grn,https://www.channelfireball.com/articles/guilds-of-ravnica-limited-set-review-izzet/
grn,https://www.channelfireball.com/articles/guilds-of-ravnica-limited-set-review-selesnya/
dom,https://www.channelfireball.com/articles/dominaria-limited-set-review-gold-artifacts-and-lands/
dom,https://www.channelfireball.com/articles/dominaria-limited-set-review-white/
dom,https://www.channelfireball.com/articles/dominaria-limited-set-review-blue/
dom,https://www.channelfireball.com/articles/dominaria-limited-set-review-black/
